year,inflation
2020,6.62343677628531
2019,3.72327648330532
2018,3.94506866416979
2017,3.32817337461301
2016,4.94821634062141
2015,4.90697344127253
2014,6.64950015146925
2013,11.0636747834422
2012,9.3124456048738
2011,8.85836096636667
2010,11.9893899204244
2009,10.8823529411764
2008,8.34926704907581
2007,6.37288135593231
2006,5.79652337561635
2005,4.24634362031925
2004,3.76725173477513
2003,3.80585899528851
2002,4.2971520392956
2001,3.77929312235641
2000,4.0094359104519
1999,4.66982038037591
1998,13.2308389767978
1997,7.16425211462719
1996,8.97715233826453
1995,10.2248861637545
1994,10.2479355556119
1993,6.32689048779865
1992,11.7878170418135
1991,13.8702461773682
1990,8.9712325027326
1989,7.07428002942298
1988,9.38347186185335
1987,8.80112581251833
1986,8.72972072702585
1985,5.55642423236556
1984,8.3189071186007
1983,11.8680812986734
1982,7.89074279377489
1981,13.112546897642
1980,11.3460734795095
1979,6.27568336762338
1978,2.5230487569518
1977,8.30747009171164
1976,-7.63394763392879
1975,5.74843029767436
1974,28.598734077509
1973,16.9408159791735
1972,6.44209746158236
1971,3.07993868406547
1970,5.09226161997547
1969,-0.584136610466317
1968,3.23741242627506
1967,13.062202477797
1966,10.8018483489341
1965,9.47475859170699
1964,13.3552611508153
1963,2.94616135685229
1962,3.63221497106985
1961,1.69521293914439
1960,1.77987784677381
